ward_id,rainfall,date
029N,0.0,2025-01-03
060E,0.0,2025-01-03
085S,0.0,2025-01-03
029N,0.0,2025-01-04
060E,0.0,2025-01-04
085S,0.0,2025-01-04
029N,0.0,2025-01-05
060E,0.0,2025-01-05
085S,0.0,2025-01-05
029N,0.0,2025-01-06
060E,0.0,2025-01-06
085S,0.0,2025-01-06
029N,0.0,2025-01-07
060E,0.14527749,2025-01-07
085S,0.21860823,2025-01-07
029N,0.0,2025-01-08
060E,0.0,2025-01-08
085S,0.0,2025-01-08
029N,0.0,2025-01-09
060E,0.0,2025-01-09
085S,0.0,2025-01-09
029N,0.0,2025-01-10
060E,0.0,2025-01-10
085S,0.0,2025-01-10
029N,0.0,2025-01-11
060E,0.0,2025-01-11
085S,0.0,2025-01-11
029N,2.0148563,2025-01-12
060E,1.6226393,2025-01-12
085S,3.5832515,2025-01-12
029N,0.0,2025-01-13
060E,0.0,2025-01-13
085S,0.0,2025-01-13
029N,0.0,2025-01-14
060E,0.0,2025-01-14
085S,0.0,2025-01-14
029N,0.0,2025-01-15
060E,0.0,2025-01-15
085S,0.0,2025-01-15
029N,7.1415286,2025-01-16
060E,4.1136193,2025-01-16
085S,5.2321877,2025-01-16
029N,0.0,2025-01-17
060E,0.0,2025-01-17
085S,0.0,2025-01-17
029N,0.0,2025-01-18
060E,0.0,2025-01-18
085S,0.0,2025-01-18
029N,0.0,2025-01-19
060E,0.0,2025-01-19
085S,0.0,2025-01-19
029N,0.0,2025-01-20
060E,0.0,2025-01-20
085S,0.0,2025-01-20
029N,0.0,2025-01-21
060E,0.0,2025-01-21
085S,0.0,2025-01-21
029N,0.0,2025-01-22
060E,0.0,2025-01-22
085S,0.0,2025-01-22
029N,1.0893568,2025-01-23
060E,0.9877447,2025-01-23
085S,2.5901403,2025-01-23
029N,0.0,2025-01-24
060E,0.0,2025-01-24
085S,0.0,2025-01-24
029N,0.0,2025-01-25
060E,0.0,2025-01-25
085S,0.0,2025-01-25
029N,0.0,2025-01-26
060E,0.0,2025-01-26
085S,0.0,2025-01-26
029N,0.0,2025-01-27
060E,0.0,2025-01-27
085S,0.0,2025-01-27
029N,0.0,2025-01-28
060E,0.0,2025-01-28
085S,0.0,2025-01-28
029N,0.0,2025-01-29
060E,0.0,2025-01-29
085S,0.0,2025-01-29
029N,0.0,2025-01-30
060E,0.0,2025-01-30
085S,0.0,2025-01-30
029N,0.0,2025-01-31
060E,0.0,2025-01-31
085S,0.0,2025-01-31
029N,0.0,2025-02-01
060E,0.0,2025-02-01
085S,0.0,2025-02-01
029N,0.0,2025-02-02
060E,0.0,2025-02-02
085S,0.0,2025-02-02
029N,0.0,2025-02-03
060E,0.0,2025-02-03
085S,0.0,2025-02-03
029N,0.046256986,2025-02-04
060E,0.0,2025-02-04
085S,0.0,2025-02-04
029N,0.0,2025-02-05
060E,0.0,2025-02-05
085S,0.0,2025-02-05
029N,0.0,2025-02-06
060E,0.0,2025-02-06
085S,0.0,2025-02-06
